,index,equipo,posicion,valor_mercado,aforo
0,0,Real Madrid CF,1,770.75,81044
1,1,FC Barcelona,2,737.1,99354
2,2,Atlético de Madrid,3,661.8,68456
3,3,Sevilla FC,4,385.0,43883
4,4,Real Betis Balompié,5,259.0,59378
5,5,Real Sociedad,6,376.95,39500
6,6,Villarreal CF,7,408.9,23500
7,7,Athletic Club,8,226.05,53289
8,8,Valencia CF,9,310.6,48600
9,9,CA Osasuna,10,108.45,23576
10,10,RC Celta de Vigo,11,120.0,29000
11,11,Rayo Vallecano,12,67.2,15105
12,12,Elche CF,13,72.98,33732
13,13,RCD Espanyol,14,131.6,40500
14,14,Getafe CF,15,208.68,16800
15,15,RCD Mallorca,16,74.15,20500
16,16,Cádiz CF,17,67.8,21094
17,17,UD Almería,18,63.75,15274
18,18,Real Valladolid CF,19,66.65,27618
19,19,Girona FC,20,38.05,11286
