CBC,SCIP,SAT,CP-SAT
2.7493796348571777,3.9187726974487305,4.333645343780518,4.148596286773682
3.0174450874328613,3.8579885959625244,4.589648246765137,4.44108247756958
2.843316078186035,3.9079437255859375,4.722514390945435,4.001976013183594
2.695974826812744,4.1443421840667725,4.473045587539673,4.3030102252960205
2.8108959197998047,4.12234091758728,4.829644203186035,4.6314451694488525
2.6340391635894775,3.940779209136963,5.087775230407715,4.019431829452515
2.5727779865264893,4.089183568954468,5.057647943496704,4.454021215438843
2.5943849086761475,4.029927968978882,5.106144428253174,5.079935073852539
2.6181106567382812,3.9304921627044678,4.402649402618408,4.833647727966309
2.6608498096466064,3.9396870136260986,4.28716254234314,5.225275993347168
3.0946271419525146,4.027508497238159,4.143416404724121,5.361177921295166
2.5898168087005615,3.996110200881958,4.879799842834473,4.750610113143921
2.5709145069122314,4.026515483856201,4.100779294967651,4.271629571914673
2.572889566421509,4.252587080001831,4.69243049621582,4.8585405349731445
2.6330161094665527,3.889275550842285,4.614140272140503,5.105075836181641
2.6076231002807617,3.9264461994171143,4.417613506317139,5.451564311981201
2.554955244064331,3.897268056869507,5.071638345718384,4.47817587852478
2.672854423522949,4.005146503448486,4.828626394271851,4.56530237197876
2.698704719543457,3.961900234222412,4.220826148986816,4.520681142807007
2.5463435649871826,3.9193685054779053,5.041361093521118,4.795860528945923
2.5948193073272705,3.909618854522705,4.085268259048462,4.8441243171691895
2.6696436405181885,3.9156556129455566,4.3911027908325195,5.227165460586548
2.703050136566162,3.9698684215545654,5.541079521179199,4.546820163726807
2.5651369094848633,3.8931005001068115,4.203567266464233,4.023576974868774
2.6093051433563232,3.9273507595062256,4.800583600997925,5.179051876068115
2.5843136310577393,3.916762113571167,4.50671911239624,5.008650064468384
2.641939401626587,3.982103109359741,4.221369743347168,4.398483991622925
2.5460472106933594,4.068566799163818,4.461076259613037,5.090390205383301
2.5222110748291016,3.9315590858459473,4.452272176742554,4.487282991409302
2.507603883743286,3.9523282051086426,4.661245584487915,5.092983722686768
2.5331974029541016,3.9079949855804443,5.515094518661499,3.9801173210144043
2.5459158420562744,3.8581900596618652,4.108086109161377,4.254495620727539
2.502014636993408,3.865485668182373,4.4174041748046875,4.1093525886535645
2.5412967205047607,3.8555617332458496,5.066256046295166,4.160298585891724
2.5569229125976562,3.86892032623291,8.219351768493652,4.646310091018677
2.5403223037719727,3.907102584838867,4.46898078918457,4.505057096481323
2.4855003356933594,3.8735406398773193,4.457315444946289,4.354997873306274
2.6501550674438477,3.864232063293457,4.450697183609009,3.937213659286499
2.731731653213501,3.848876476287842,4.683141469955444,4.074635982513428
2.6255128383636475,3.8677046298980713,4.14487361907959,6.281651020050049
2.498251438140869,3.8681185245513916,4.231282711029053,4.190914154052734
2.5801334381103516,3.8566665649414062,4.736523151397705,4.429647445678711
2.5856587886810303,3.913541793823242,4.1548011302948,4.856829404830933
2.52653169631958,3.871366500854492,4.653980016708374,4.268229722976685
2.5825018882751465,3.8574914932250977,3.959001302719116,3.940997838973999
2.780090093612671,3.8658392429351807,3.9305243492126465,5.60877251625061
2.6617140769958496,3.9496419429779053,4.599733829498291,5.443217754364014
2.795358419418335,3.924034357070923,4.7928924560546875,4.510342597961426
2.5828146934509277,4.042702674865723,4.206320524215698,4.599645376205444
2.542694091796875,3.8899190425872803,4.1833555698394775,5.336471080780029
